geno;pheno;nSamples;nCases;nControls;p;beta;lower;upper;se;MedCases;MedControls;Panel
CH_VE_mis;FLT3LG:P49771:OID20661:v1:Inflammation;35880;1761;34119;5,01E-20;-0,213270832;-0,258859793;-0,167681871;0,023259313;-0,014480631;0,01363155;Inflammation
TET2_VE_VAF05;CD1C:P29017:OID21483:v1:Oncology;35644;250;35394;1,75E-19;0,546873605;0,428211237;0,665535972;0,06054107;0,389511605;-0,017198425;Oncology
JAK2_mis;FCGR2A:P12318:OID20391:v1:Cardiometabolic;35318;16;35302;6,76E-19;2,144315101;1,67121223;2,617417973;0,241375137;2,601956309;-0,032549297;Cardiometabolic
JAK2_mis_VAF05;FCGR2A:P12318:OID20391:v1:Cardiometabolic;35318;16;35302;6,76E-19;2,144315101;1,67121223;2,617417973;0,241375137;2,601956309;-0,032549297;Cardiometabolic
JAK2_mis;CXCL11:O14625:OID21042:v1:Neurology;35866;15;35851;1,05E-18;2,207488534;1,717748523;2,697228545;0,249863468;2,350934583;-0,002759194;Neurology
JAK2_mis_VAF05;CXCL11:O14625:OID21042:v1:Neurology;35866;15;35851;1,05E-18;2,207488534;1,717748523;2,697228545;0,249863468;2,350934583;-0,002759194;Neurology
CH_VE_VAF05;FLT3LG:P49771:OID20661:v1:Inflammation;35880;883;34997;2,77E-18;-0,282536115;-0,346005787;-0,219066442;0,032381983;-0,05105636;0,014386288;Inflammation
ASXL1_VE_VAF10;ROBO1:Q9Y6N7:OID20734:v1:Inflammation;35523;68;35455;1,27E-17;0,995529355;0,767324402;1,223734308;0,116429251;0,882031465;-0,017242218;Inflammation
TET2_VE;CD1C:P29017:OID21483:v1:Oncology;35644;275;35369;1,92E-17;0,490781117;0,377646757;0,603915476;0,057720703;0,301173692;-0,017198425;Oncology
TET2_VE_mis_VAF05;CD1C:P29017:OID21483:v1:Oncology;35644;360;35284;3,09E-17;0,426719104;0,327709911;0,525728298;0,050514099;0,218857506;-0,016770799;Oncology
JAK2_mis_VAF10;CXCL11:O14625:OID21042:v1:Neurology;35866;13;35853;3,09E-17;2,267453823;1,741347292;2,793560354;0,268417526;2,40257271;-0,002759194;Neurology
TET2_VE_VAF20;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;54;34385;4,67E-17;-1,064636344;-1,313079692;-0,816192996;0,126754661;-0,995033693;0,045439207;Cardiometabolic
ASXL1_VE_VAF10;DDAH1:O94760:OID21299:v1:Oncology;35344;67;35277;5,17E-17;0,983211764;0,753437731;1,212985797;0,117229769;1,233880365;0,015828051;Oncology
JAK2_mis_VAF10;FCGR2A:P12318:OID20391:v1:Cardiometabolic;35318;14;35304;1,13E-16;2,140469086;1,634634742;2,646303431;0,258074599;2,601956309;-0,032453671;Cardiometabolic
CH_VE;FLT3LG:P49771:OID20661:v1:Inflammation;35880;1036;34844;8,49E-16;-0,241201612;-0,299924803;-0,18247842;0,029960347;-0,026876368;0,01363155;Inflammation
JAK2_mis;GP1BA:P07359:OID20381:v1:Cardiometabolic;35318;16;35302;1,78E-15;1,954879354;1,473503512;2,436255195;0,245595971;2,533095912;0,012055936;Cardiometabolic
JAK2_mis_VAF05;GP1BA:P07359:OID20381:v1:Cardiometabolic;35318;16;35302;1,78E-15;1,954879354;1,473503512;2,436255195;0,245595971;2,533095912;0,012055936;Cardiometabolic
TET2_VE_mis;CD1C:P29017:OID21483:v1:Oncology;35644;402;35242;4,75E-15;0,374722787;0,281001834;0,468443741;0,04781606;0,172001129;-0,016770799;Oncology
ASXL1_VE_VAF05;ROBO1:Q9Y6N7:OID20734:v1:Inflammation;35523;136;35387;8,28E-15;0,640059877;0,478530739;0,801589014;0,082411517;0,673605046;-0,018218747;Inflammation
ASXL1_VE_VAF05;DDAH1:O94760:OID21299:v1:Oncology;35344;136;35208;1,29E-14;0,635105103;0,473657984;0,796552222;0,082369658;0,754626439;0,015013837;Oncology
TET2_mis_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;60;35820;1,86E-14;-0,933962402;-1,172844146;-0,695080658;0,121876548;-0,824816135;0,013277769;Inflammation
TET2_VE_VAF05;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;253;35192;2,30E-14;0,474821568;0,352936385;0,596706751;0,062185326;0,468812837;-0,000477197;Inflammation
JAK2_mis_VAF10;GP1BA:P07359:OID20381:v1:Cardiometabolic;35318;14;35304;2,47E-14;2,0024624;1,487818874;2,517105927;0,262569007;2,674344851;0,012139579;Cardiometabolic
CH_mis_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;328;35552;4,48E-14;-0,397078398;-0,500171255;-0,293985542;0,052597579;-0,219209757;0,013725892;Inflammation
ASXL1_VE_VAF10;MANSC1:Q9H8J5:OID21492:v1:Oncology;35644;67;35577;4,58E-14;0,893135631;0,661161516;1,125109746;0,118352276;0,864419896;0,023589472;Oncology
TET2_VE;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;277;35168;1,34E-13;0,44005147;0,323576977;0,556525962;0,059424814;0,408724394;-0,000477197;Inflammation
TET2_VE_mis_VAF05;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;364;35081;3,67E-13;0,377372004;0,27563183;0,479112179;0,051907425;0,313400407;-0,000477197;Inflammation
TET2_VE_mis_VAF20;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;67;34372;4,33E-13;-0,825161073;-1,048314687;-0,602007459;0,113851955;-0,518538087;0,045145219;Cardiometabolic
TET2_VE_mis_VAF10;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;204;35241;4,97E-13;0,498168902;0,363094446;0,633243358;0,06891444;0,521099376;-0,000477197;Inflammation
SRSF2_mis_VAF20;SIRPB1:O00241:OID20739:v1:Inflammation;35396;14;35382;6,09E-13;1,84231321;1,340859336;2,343767083;0,255839721;2,155273068;0,023463769;Inflammation
ASXL1_VE_VAF20;DDAH1:O94760:OID21299:v1:Oncology;35344;25;35319;8,17E-13;1,372084345;0,996524494;1,747644196;0,191609095;1,825900871;0,016594379;Oncology
TET2_VE_mis;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;407;35038;1,07E-12;0,349747405;0,253510317;0,445984494;0,049099772;0,257521936;-0,000477197;Inflammation
ASXL1_VE_VAF05;MANSC1:Q9H8J5:OID21492:v1:Oncology;35644;136;35508;1,38E-12;0,589434866;0,426453956;0,752415776;0,083152215;0,583931331;0,022852913;Oncology
JAK2_mis_VAF10;ICAM2:P13598:OID20248:v1:Cardiometabolic;35953;14;35939;1,41E-12;1,8807139;1,360503768;2,400924032;0,265409228;2,191867971;-0,000729147;Cardiometabolic
ASXL1_VE;DDAH1:O94760:OID21299:v1:Oncology;35344;163;35181;1,49E-12;0,532767675;0,385228881;0,680306469;0,075273687;0,67433623;0,014774364;Oncology
JAK2_mis;PEAR1:Q5VY43:OID20257:v1:Cardiometabolic;35953;16;35937;1,50E-12;1,739620383;1,257791093;2,221449674;0,245827469;2,510807264;0,001034918;Cardiometabolic
JAK2_mis_VAF05;PEAR1:Q5VY43:OID20257:v1:Cardiometabolic;35953;16;35937;1,50E-12;1,739620383;1,257791093;2,221449674;0,245827469;2,510807264;0,001034918;Cardiometabolic
JAK2_mis;ICAM2:P13598:OID20248:v1:Cardiometabolic;35953;16;35937;1,55E-12;1,75593374;1,269313803;2,242553678;0,248271639;2,191867971;-0,000729147;Cardiometabolic
JAK2_mis_VAF05;ICAM2:P13598:OID20248:v1:Cardiometabolic;35953;16;35937;1,55E-12;1,75593374;1,269313803;2,242553678;0,248271639;2,191867971;-0,000729147;Cardiometabolic
TET2_VE_mis_VAF10;FLT3:P36888:OID21272:v1:Oncology;34690;196;34494;2,45E-12;0,487540497;0,351200907;0,623880087;0,069559854;0,431341631;-0,011360497;Oncology
JAK2_mis_VAF10;PEAR1:Q5VY43:OID20257:v1:Cardiometabolic;35953;14;35939;2,45E-12;1,841920974;1,326823941;2,357018007;0,262800545;2,562951291;0,001034918;Cardiometabolic
JAK2_mis;FGF2:P09038:OID20503:v1:Inflammation;35445;14;35431;2,62E-12;1,84037593;1,325023656;2,355728204;0,26293064;1,658465703;0,021141382;Inflammation
JAK2_mis_VAF05;FGF2:P09038:OID20503:v1:Inflammation;35445;14;35431;2,62E-12;1,84037593;1,325023656;2,355728204;0,26293064;1,658465703;0,021141382;Inflammation
CH_VE_VAF20;CD1C:P29017:OID21483:v1:Oncology;35644;163;35481;2,66E-12;0,52188078;0,375687527;0,668074034;0,07458722;0,356238256;-0,016319419;Oncology
SRSF2_mis_VAF20;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;14;35514;3,02E-12;1,704300142;1,225664442;2,182935842;0,244198013;2,148895024;0,022163841;Cardiometabolic
JAK2_mis_VAF10;FGF2:P09038:OID20503:v1:Inflammation;35445;12;35433;3,55E-12;1,975616646;1,418973543;2,53225975;0,283997054;1,875319091;0,021141382;Inflammation
TET2_VE_VAF10;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;148;35297;4,89E-12;0,558583884;0,400163683;0,717004085;0,080825344;0,668476329;0,008446479;Inflammation
ASXL1_VE;MANSC1:Q9H8J5:OID21492:v1:Oncology;35644;163;35481;5,21E-12;0,524435841;0,375509534;0,673362147;0,075981612;0,523738721;0,022852913;Oncology
TET2_VE_mis_VAF05;FLT3:P36888:OID21272:v1:Oncology;34690;355;34335;6,30E-12;0,357598202;0,25565101;0,459545394;0,052013005;0,211063107;-0,011579915;Oncology
ASXL1_VE;ROBO1:Q9Y6N7:OID20734:v1:Inflammation;35523;163;35360;6,34E-12;0,517735469;0,370112547;0,665358391;0,075316622;0,556822035;-0,018099657;Inflammation
JAK2_mis;PTN:P21246:OID20083:v1:Cardiometabolic;34840;16;34824;1,26E-11;1,564388888;1,111864362;2,016913415;0,230876041;1,772502581;0,015358475;Cardiometabolic
JAK2_mis_VAF05;PTN:P21246:OID20083:v1:Cardiometabolic;34840;16;34824;1,26E-11;1,564388888;1,111864362;2,016913415;0,230876041;1,772502581;0,015358475;Cardiometabolic
SRSF2_mis_VAF20;CLEC11A:Q9Y240:OID21112:v1:Neurology;35522;14;35508;1,36E-11;1,739965665;1,235771444;2,244159885;0,257237865;1,678546262;-0,006454262;Neurology
JAK2_mis;LGALS1:P09382:OID20154:v1:Cardiometabolic;35528;16;35512;1,65E-11;1,508510895;1,069592746;1,947429043;0,223934278;1,719507762;0,001904364;Cardiometabolic
JAK2_mis_VAF05;LGALS1:P09382:OID20154:v1:Cardiometabolic;35528;16;35512;1,65E-11;1,508510895;1,069592746;1,947429043;0,223934278;1,719507762;0,001904364;Cardiometabolic
CH_VE_mis_VAF20;CD1C:P29017:OID21483:v1:Oncology;35644;280;35364;2,38E-11;0,3817925;0,269815083;0,493769918;0,057130435;0,236925204;-0,016319419;Oncology
SRSF2_mis_VAF10;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;16;35512;2,42E-11;1,526133704;1,07837584;1,973891567;0,228444265;2,001405211;0,022163841;Cardiometabolic
SRSF2_mis_VAF10;CLEC11A:Q9Y240:OID21112:v1:Neurology;35522;17;35505;2,76E-11;1,555018759;1,097437213;2,012600305;0,233456266;1,624666392;-0,006454262;Neurology
TET2_VE_mis;FLT3:P36888:OID21272:v1:Oncology;34690;393;34297;3,88E-11;0,326865228;0,229950553;0,423779903;0,049445437;0,179059569;-0,011579915;Oncology
CH_VE_mis_VAF10;CD1C:P29017:OID21483:v1:Oncology;35644;770;34874;4,30E-11;0,229655166;0,161407592;0,297902741;0,034819642;0,095980926;-0,016770799;Oncology
JAK2_mis;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;15;35865;4,53E-11;1,664351063;1,169150141;2,159551986;0,252649608;2,206023262;0,012853234;Inflammation
JAK2_mis_VAF05;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;15;35865;4,53E-11;1,664351063;1,169150141;2,159551986;0,252649608;2,206023262;0,012853234;Inflammation
TET2_VE_VAF10;FLT3:P36888:OID21272:v1:Oncology;34690;143;34547;4,84E-11;0,53516336;0,375698686;0,694628034;0,081358169;0,525478118;-0,01106794;Oncology
TET2_VE_mis_VAF20;FLT3:P36888:OID21272:v1:Oncology;34690;71;34619;4,88E-11;0,758072031;0,532145677;0,983998384;0,115266623;0,626573388;-0,01106794;Oncology
JAK2_mis_VAF10;LGALS1:P09382:OID20154:v1:Cardiometabolic;35528;14;35514;6,15E-11;1,566153825;1,096919958;2,035387693;0,239401236;1,786732972;0,001904364;Cardiometabolic
CH_VE_VAF10;CD1C:P29017:OID21483:v1:Oncology;35644;466;35178;7,12E-11;0,290045535;0,202852916;0,377238154;0,044485329;0,159670821;-0,016770799;Oncology
JAK2_mis_VAF10;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;13;35867;8,40E-11;1,762718273;1,230785889;2,294650658;0,271389859;2,206023262;0,012853234;Inflammation
TET2_VE_VAF05;FLT3:P36888:OID21272:v1:Oncology;34690;247;34443;8,79E-11;0,404180622;0,282086977;0,526274268;0,062291636;0,294650765;-0,01106794;Oncology
TET2_VE;FLT3:P36888:OID21272:v1:Oncology;34690;270;34420;8,87E-11;0,386450578;0,269687251;0,503213905;0,059572131;0,233480644;-0,01106794;Oncology
SRSF2_mis_VAF05;CLEC11A:Q9Y240:OID21112:v1:Neurology;35522;20;35502;1,29E-10;1,384347752;0,962405436;1,806290068;0,215273274;1,53852587;-0,006454262;Neurology
JAK2_mis;SCARF1:Q14162:OID20297:v1:Cardiometabolic;35953;16;35937;1,31E-10;1,57118841;1,092072475;2,050304345;0,244443126;1,347181713;0,013430816;Cardiometabolic
JAK2_mis_VAF05;SCARF1:Q14162:OID20297:v1:Cardiometabolic;35953;16;35937;1,31E-10;1,57118841;1,092072475;2,050304345;0,244443126;1,347181713;0,013430816;Cardiometabolic
JAK2_mis_VAF10;PTN:P21246:OID20083:v1:Cardiometabolic;34840;14;34826;1,44E-10;1,583084149;1,099288562;2,066879736;0,2468304;1,772502581;0,015443335;Cardiometabolic
CH_VE_mis_VAF10;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;772;34673;2,03E-10;0,228552624;0,158130993;0,298974254;0,03592883;0,168855689;-0,000477197;Inflammation
JAK2_mis;AMIGO2:Q86SJ2:OID21370:v1:Oncology;35344;14;35330;2,49E-10;1,658542318;1,144937013;2,172147623;0,262039319;1,900910382;-0,000598615;Oncology
JAK2_mis_VAF05;AMIGO2:Q86SJ2:OID21370:v1:Oncology;35344;14;35330;2,49E-10;1,658542318;1,144937013;2,172147623;0,262039319;1,900910382;-0,000598615;Oncology
SRSF2_mis_VAF05;SIRPB1:O00241:OID20739:v1:Inflammation;35396;20;35376;2,61E-10;1,35374866;0,93405431;1,773443011;0,214126346;2,029609433;0,023463769;Inflammation
TET2_VE_VAF20;FLT3:P36888:OID21272:v1:Oncology;34690;58;34632;2,80E-10;0,804737654;0,554816366;1,054658941;0,127508732;0,655928432;-0,010726625;Oncology
JAK2_mis_VAF10;SCARF1:Q14162:OID20297:v1:Cardiometabolic;35953;14;35939;3,49E-10;1,640323161;1,128119963;2,152526359;0,261324121;1,709661975;0,013430816;Cardiometabolic
ASXL1_VE_VAF20;ROBO1:Q9Y6N7:OID20734:v1:Inflammation;35523;25;35498;3,95E-10;1,199934452;0,824101847;1,575767057;0,191748286;1,700674768;-0,017242218;Inflammation
TET2_VE_VAF10;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;138;34301;6,34E-10;-0,491431172;-0,647206855;-0,33565549;0,079476042;-0,112940491;0,044777739;Cardiometabolic
SRSF2_mis_VAF10;SIRPB1:O00241:OID20739:v1:Inflammation;35396;17;35379;9,60E-10;1,420705983;0,965526596;1,87588537;0,232230667;2,057129615;0,023463769;Inflammation
SRSF2_mis_VAF05;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;19;35509;1,10E-09;1,278245028;0,867248612;1,689241443;0,209688722;1,639701284;0,02211622;Cardiometabolic
SRSF2_mis;SIRPB1:O00241:OID20739:v1:Inflammation;35396;23;35373;1,27E-09;1,212677876;0,821293514;1,604062237;0,199682705;2,023800474;0,023463769;Inflammation
CH_VE_VAF10;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;467;34978;1,50E-09;0,27754754;0,187562494;0,367532587;0,045910006;0,248578999;-0,000477197;Inflammation
TET2_VE_mis_VAF10;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;192;34247;2,21E-09;-0,403594735;-0,535808828;-0,271380641;0,067455027;-0,050083561;0,044777739;Cardiometabolic
CH_VE_mis_VAF10;LAG3:P18627:OID21315:v1:Oncology;35344;765;34579;2,75E-09;0,206564327;0,138486446;0,274642208;0,034733056;0,366927906;-0,000407058;Oncology
CH_mis;FLT3LG:P49771:OID20661:v1:Inflammation;35880;780;35100;3,54E-09;-0,202728984;-0,270008034;-0,135449933;0,034325513;-0,011155118;0,012723515;Inflammation
JAK2_mis_VAF10;AMIGO2:Q86SJ2:OID21370:v1:Oncology;35344;12;35332;4,30E-09;1,662592477;1,107798277;2,217386677;0,283053724;1,900910382;-0,000598615;Oncology
CH_VE_mis_VAF05;CD1C:P29017:OID21483:v1:Oncology;35644;1456;34188;4,77E-09;0,150239717;0,099958188;0,200521246;0,025653437;0,020845267;-0,015701748;Oncology
JAK2_mis_VAF10;PLXNB3:Q9ULL4:OID20160:v1:Cardiometabolic;35400;14;35386;5,31E-09;1,539274077;1,022529905;2,05601825;0,26364077;1,829674939;0,000644768;Cardiometabolic
TET2_VE_mis_VAF10;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;197;35331;5,77E-09;-0,400205506;-0,534875789;-0,265535223;0,068708238;-0,265096412;0,003742866;Cardiometabolic
SF3B1_mis_VAF05;CD63:P08962:OID20988:v1:Neurology;35260;20;35240;6,24E-09;-1,310880955;-1,75297853;-0,86878338;0,225556348;-1,31103065;-0,013581091;Neurology
TET2_VE_mis;KIR2DL3:P43628:OID21196:v1:Oncology;34690;393;34297;6,29E-09;-0,288355948;-0,385630543;-0,191081353;0,049629067;-0,177622967;0,021698322;Oncology
CH_VE_VAF05;CD1C:P29017:OID21483:v1:Oncology;35644;874;34770;6,48E-09;0,190238206;0,126009476;0,254466936;0,032769244;0,077466506;-0,016770799;Oncology
JAK2_mis;TREML2:Q5T2D2:OID21120:v1:Neurology;35585;15;35570;6,55E-09;1,439353661;0,953233164;1,925474157;0,248016739;1,197134949;0,029536439;Neurology
JAK2_mis_VAF05;TREML2:Q5T2D2:OID21120:v1:Neurology;35585;15;35570;6,55E-09;1,439353661;0,953233164;1,925474157;0,248016739;1,197134949;0,029536439;Neurology
JAK2_mis;DKK1:O94907:OID21066:v1:Neurology;35866;15;35851;6,88E-09;1,475297877;0,976335364;1,974260391;0,254568753;1,189628157;0,003796843;Neurology
JAK2_mis_VAF05;DKK1:O94907:OID21066:v1:Neurology;35866;15;35851;6,88E-09;1,475297877;0,976335364;1,974260391;0,254568753;1,189628157;0,003796843;Neurology
TET2_VE_mis_VAF20;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;69;35459;6,99E-09;-0,670668975;-0,897603906;-0,443734043;0,115781291;-0,340157826;0,003742866;Cardiometabolic
CH_mis_VAF05;FLT3LG:P49771:OID20661:v1:Inflammation;35880;627;35253;7,83E-09;-0,220702797;-0,295628009;-0,145777585;0,038226555;-0,036161026;0,012876819;Inflammation
SF3B1_mis;ANGPT1:Q15389:OID20740:v1:Inflammation;35219;21;35198;8,05E-09;-1,279443341;-1,71415107;-0,844735612;0,221786073;-1,27765671;-0,001439951;Inflammation
SF3B1_mis_VAF05;DKK1:O94907:OID21066:v1:Neurology;35866;20;35846;9,06E-09;-1,300698309;-1,744159133;-0,857237486;0,226252005;-1,426995765;0,003796843;Neurology
TET2_VE_VAF20;S100P:P25815:OID20103:v1:Cardiometabolic;34840;54;34786;9,18E-09;-0,747920053;-1,003012938;-0,492827167;0,130147278;-0,541758864;0,020462427;Cardiometabolic
JAK2_mis_VAF10;DKK1:O94907:OID21066:v1:Neurology;35866;13;35853;9,42E-09;1,570179862;1,034211561;2,106148163;0,273448963;1,189628157;0,003796843;Neurology
SRSF2_mis_VAF20;LILRA2:Q8N149:OID21152:v1:Neurology;35585;14;35571;9,85E-09;1,412999691;0,930054648;1,895944734;0,246396635;1,640493636;0,021924975;Neurology
TET2_VE_mis_VAF20;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;72;35373;1,02E-08;0,662941983;0,436152644;0,889731322;0,115707001;0,7666889;0,008661226;Inflammation
SF3B1_mis_VAF05;ANGPT1:Q15389:OID20740:v1:Inflammation;35219;20;35199;1,03E-08;-1,303363127;-1,749375018;-0,857351236;0,227553409;-1,284391417;-0,001439951;Inflammation
SF3B1_mis;DKK1:O94907:OID21066:v1:Neurology;35866;21;35845;1,05E-08;-1,262328784;-1,6945549;-0,830102669;0,2205201;-1,336418088;0,003796843;Neurology
SRSF2_mis_VAF10;SDC4:P31431:OID20216:v1:Cardiometabolic;35528;16;35512;1,16E-08;-1,406287441;-1,889220675;-0,923354207;0,246390598;-1,560176783;-0,012473902;Cardiometabolic
SRSF2_mis;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;22;35506;1,20E-08;1,11092309;0,728952165;1,492894014;0,194880032;1,567680471;0,022163841;Cardiometabolic
TET2_VE_mis_VAF20;S100P:P25815:OID20103:v1:Cardiometabolic;34840;66;34774;1,26E-08;-0,670394781;-0,901187056;-0,439602507;0,117749213;-0,541758864;0,020607915;Cardiometabolic
TET2_VE_mis_VAF05;KIR2DL3:P43628:OID21196:v1:Oncology;34690;355;34335;1,27E-08;-0,297157564;-0,399490668;-0,19482446;0,052209896;-0,18664508;0,021478867;Oncology
JAK2_mis;PLXNB3:Q9ULL4:OID20160:v1:Cardiometabolic;35400;16;35384;1,37E-08;1,400573778;0,917184521;1,883963035;0,246623228;1,543166382;0,000644768;Cardiometabolic
JAK2_mis_VAF05;PLXNB3:Q9ULL4:OID20160:v1:Cardiometabolic;35400;16;35384;1,37E-08;1,400573778;0,917184521;1,883963035;0,246623228;1,543166382;0,000644768;Cardiometabolic
CH_VE;CD1C:P29017:OID21483:v1:Oncology;35644;1026;34618;1,46E-08;0,17175652;0,112355143;0,231157897;0,030306347;0,048666493;-0,016165001;Oncology
SF3B1_mis;CD63:P08962:OID20988:v1:Neurology;35260;21;35239;1,55E-08;-1,243839315;-1,674745683;-0,812932948;0,219846641;-1,297288972;-0,013581091;Neurology
CH_mis_VAF20;SIRPB1:O00241:OID20739:v1:Inflammation;35396;127;35269;1,62E-08;0,482810484;0,315295588;0,650325379;0,085465416;0,477263209;0,022173283;Inflammation
CH_VE_VAF20;FLT3:P36888:OID21272:v1:Oncology;34690;157;34533;1,62E-08;0,438907552;0,286624527;0,591190577;0,077694124;0,358923115;-0,011360497;Oncology
CH_VE_mis_VAF20;SIRPB1:O00241:OID20739:v1:Inflammation;35396;281;35115;1,79E-08;0,323944854;0,211213977;0,436675732;0,057514834;0,343307493;0,021217391;Inflammation
JAK2_mis_VAF10;TREML2:Q5T2D2:OID21120:v1:Neurology;35585;13;35572;1,79E-08;1,500526539;0,978342768;2,022710309;0,266416078;1,197134949;0,029536439;Neurology
CH_VE_mis;CD1C:P29017:OID21483:v1:Oncology;35644;1747;33897;1,89E-08;0,132234298;0,08614339;0,178325205;0,023515399;-0,003087968;-0,014703983;Oncology
JAK2_mis;CDH6:P55285:OID20157:v1:Cardiometabolic;35528;16;35512;2,06E-08;1,356161092;0,882208914;1,83011327;0,241808499;1,706688317;0,020378097;Cardiometabolic
JAK2_mis_VAF05;CDH6:P55285:OID20157:v1:Cardiometabolic;35528;16;35512;2,06E-08;1,356161092;0,882208914;1,83011327;0,241808499;1,706688317;0,020378097;Cardiometabolic
TET2_VE;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;263;34176;2,10E-08;-0,324632204;-0,438161293;-0,211103116;0,057922023;-0,04068686;0,04492473;Cardiometabolic
TET2_VE_VAF05;LCN2:P80188:OID20392:v1:Cardiometabolic;34439;238;34201;2,45E-08;-0,33974083;-0,459112643;-0,220369016;0,060902954;-0,040429674;0,044777739;Cardiometabolic
SRSF2_mis;SDC4:P31431:OID20216:v1:Cardiometabolic;35528;22;35506;2,47E-08;-1,171904429;-1,583820569;-0,759988289;0,210157961;-1,156866721;-0,012366774;Cardiometabolic
